objectid,title,creator,description,subject,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
hm924v1n189,"HM 924 Volume 1, p. 186",Henry David Thoreau,"Image 189 from HM 924, the manuscript of ""Walden.""",manuscript; Henry David Thoreau,"American Literature Collection,Huntington Digital Library, Huntington Library, Art Museum, and Botanical Gardens, San Marino, CA",559804,Image; Digital Facsimile,image/jpeg,eng,See rights statement,https://www.huntington.org/library-rights-permissions,iiif_image,https://cdm16003.contentdm.oclc.org/iiif/info/p16003coll16/189/manifest.json,"https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/189/full/800,/0/default.jpg","https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/189/450,/full/0/default.jpg","Manuscript page from Version A of the ""Walden"" manuscript with material found in ""The Bean-Field,"" paragraph 17 and ""The Village,"" paragraph 1, in ""Walden"" as published (1854).",Coming soon.
hm924v1n190,"HM 924 Volume 1, p. 187",Henry David Thoreau,"Image 190 from HM 924, the manuscript of ""Walden.""",manuscript; Henry David Thoreau,"American Literature Collection,Huntington Digital Library, Huntington Library, Art Museum, and Botanical Gardens, San Marino, CA",559805,Image; Digital Facsimile,image/jpeg,eng,See rights statement,https://www.huntington.org/library-rights-permissions,iiif_image,https://cdm16003.contentdm.oclc.org/iiif/info/p16003coll16/190/manifest.json,"https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/190/full/800,/0/default.jpg","https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/190/450,/full/0/default.jpg","Manuscript page from Version A of the ""Walden"" manuscript with material found in ""The Village,"" paragraph 1, in ""Walden"" as published (1854).",Coming soon.
hm924v1n191,"HM 924 Volume 1, p. 188",Henry David Thoreau,"Image 191 from HM 924, the manuscript of ""Walden.""",manuscript; Henry David Thoreau,"American Literature Collection,Huntington Digital Library, Huntington Library, Art Museum, and Botanical Gardens, San Marino, CA",559806,Image; Digital Facsimile,image/jpeg,eng,See rights statement,https://www.huntington.org/library-rights-permissions,iiif_image,https://cdm16003.contentdm.oclc.org/iiif/info/p16003coll16/191/manifest.json,"https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/191/full/800,/0/default.jpg","https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/191/450,/full/0/default.jpg","Manuscript page from Version A of the ""Walden"" manuscript with material found in ""The Village,"" paragraph 1, in ""Walden"" as published (1854).",Coming soon.
hm924v1n192,"HM 924 Volume 1, p. 189",Henry David Thoreau,"Image 192 from HM 924, the manuscript of ""Walden.""",manuscript; Henry David Thoreau,"American Literature Collection,Huntington Digital Library, Huntington Library, Art Museum, and Botanical Gardens, San Marino, CA",559807,Image; Digital Facsimile,image/jpeg,eng,See rights statement,https://www.huntington.org/library-rights-permissions,iiif_image,https://cdm16003.contentdm.oclc.org/iiif/info/p16003coll16/192/manifest.json,"https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/192/full/800,/0/default.jpg","https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/192/450,/full/0/default.jpg","Manuscript page from Version A of the ""Walden"" manuscript with material found in ""The Village,"" paragraph 1 and ""Economy,"" paragraph 90, in ""Walden"" as published (1854).",Coming soon.
hm924v1n193,"HM 924 Volume 1, p. 190",Henry David Thoreau,"Image 193 from HM 924, the manuscript of ""Walden.""",manuscript; Henry David Thoreau,"American Literature Collection,Huntington Digital Library, Huntington Library, Art Museum, and Botanical Gardens, San Marino, CA",559808,Image; Digital Facsimile,image/jpeg,eng,See rights statement,https://www.huntington.org/library-rights-permissions,iiif_image,https://cdm16003.contentdm.oclc.org/iiif/info/p16003coll16/193/manifest.json,"https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/193/full/800,/0/default.jpg","https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/193/450,/full/0/default.jpg","Manuscript page from Version A of the ""Walden"" manuscript with material found in ""Economy,"" paragraph 90 and ""The Village,"" paragraph 1, in ""Walden"" as published (1854).",Coming soon.
hm924v1n194,"HM 924 Volume 1, p. 191",Henry David Thoreau,"Image 194 from HM 924, the manuscript of ""Walden.""",manuscript; Henry David Thoreau,"American Literature Collection,Huntington Digital Library, Huntington Library, Art Museum, and Botanical Gardens, San Marino, CA",559809,Image; Digital Facsimile,image/jpeg,eng,See rights statement,https://www.huntington.org/library-rights-permissions,iiif_image,https://cdm16003.contentdm.oclc.org/iiif/info/p16003coll16/194/manifest.json,"https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/194/full/800,/0/default.jpg","https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/194/450,/full/0/default.jpg","Manuscript page from Version A of the ""Walden"" manuscript with material found in ""The Village,"" paragraph 1 and ""The Ponds,"" paragraphs 1 and 2, in ""Walden"" as published (1854).",Coming soon.
hm924v1n195,"HM 924 Volume 1, p. 192",Henry David Thoreau,"Image 195 from HM 924, the manuscript of ""Walden.""",manuscript; Henry David Thoreau,"American Literature Collection,Huntington Digital Library, Huntington Library, Art Museum, and Botanical Gardens, San Marino, CA",559810,Image; Digital Facsimile,image/jpeg,eng,See rights statement,https://www.huntington.org/library-rights-permissions,iiif_image,https://cdm16003.contentdm.oclc.org/iiif/info/p16003coll16/195/manifest.json,"https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/195/full/800,/0/default.jpg","https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/195/450,/full/0/default.jpg","Manuscript page from Version A of the ""Walden"" manuscript with material found in ""The Ponds,"" paragraphs 2 and 4 in ""Walden"" as published (1854).",Coming soon.
hm924v1n196,"HM 924 Volume 1, p. 193",Henry David Thoreau,"Image 196 from HM 924, the manuscript of ""Walden.""",manuscript; Henry David Thoreau,"American Literature Collection,Huntington Digital Library, Huntington Library, Art Museum, and Botanical Gardens, San Marino, CA",559811,Image; Digital Facsimile,image/jpeg,eng,See rights statement,https://www.huntington.org/library-rights-permissions,iiif_image,https://cdm16003.contentdm.oclc.org/iiif/info/p16003coll16/196/manifest.json,"https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/196/full/800,/0/default.jpg","https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/196/450,/full/0/default.jpg","Manuscript page from Version A of the ""Walden"" manuscript with material found in ""The Ponds,"" paragraphs 4 and 3, ""The Village,"" paragraph 2, and ""Higher Laws,"" paragraph 1 in ""Walden"" as published (1854).","<div class='transcript'>dimpling the surface with their tails <br/>in the moonlight–communica- <br/>ting by a long flaxen line with mys- <br/>terious vespertinal fishes which had their <br/>dwelling 40 feet below, or sometimes <br/>dragging 60 feet of line about the <br/>pond, as I drifted in the gentle night <br/>air–now and then feeling a slight <br/>vibration along it–indicative of <br/>some life prowling about its extrem- <br/>ity–of dull uncertain blundering <br/>purpose there, and slow to make <br/>up its mind–at length you <br/>slowly raise, pulling hand over hand, <br/>some horned pout squeaking &amp; squirm- <br/>ing to the upper air.– It was <br/>very queer–in dark nights, when <br/>your thoughts had wandered to <br/>vast and cosmogonal themes in <br/>other spheres–to feel this <span style='position: relative; top: .5em; font-size: smaller;'>^</span> <span class='above'>faint</span> jerk <br/>which came to interrupt your dreams <br/>and link you to nature again. <div class='para-break'>It seemed as if I might next cast <br/> my line upward into the air–as well <br/>as downward into this element which <br/>was hardly more dense.–</div> <div class='vertical-so rotated'> <div class='line-pencil line-pencil-left'><!----></div> <div class='line-pencil line-pencil-right'><!----></div> <div class='para-break'> The main <span class='del-pencil'>reason and</span> inducement <br/>to fish was that it introduced me <br/>to the night and detained me there. </div> </div> <br/> <br/> <span class='addition'> <span class='note'>[Written vertically from bottom in left margin, inserted after 'hardly more dense.–']</span> <br/><span class='del-pencil'>Or sometimes at an earlier hour</span> <span class='add-pencil'> I</span>n <span class='del-pencil'>the</span> <span style='position: relative; top: .5em; font-size: smaller;'>^</span> <span class='add-pencil-above'>warm</span> evening<span class='add-pencil'>s </span> I sat in my boat on the pond playing the flute, and saw the perch, which I seemed to have charmed hovering around me, and the moon travelling over the ribbed bottom, strewn with the wrecks of the forest. <span class='add-pencil'> It was very pleasant</span> <span class='note'>[Catchwords referencing The Village 2a]</span> </span></div><div class='note'><strong>Note:</strong> “P. 274” in top margin and “P. 275” in right margin two-thirds of the way down the page added in pencil by Franklin Benjamin Sanborn. “135” in top margin right added in pencil by Thoreau.</div>"
hm924v1n197,"HM 924 Volume 1, p. 194",Henry David Thoreau,"Image 197 from HM 924, the manuscript of ""Walden.""",manuscript; Henry David Thoreau,"American Literature Collection,Huntington Digital Library, Huntington Library, Art Museum, and Botanical Gardens, San Marino, CA",559812,Image; Digital Facsimile,image/jpeg,eng,See rights statement,https://www.huntington.org/library-rights-permissions,iiif_image,https://cdm16003.contentdm.oclc.org/iiif/info/p16003coll16/197/manifest.json,"https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/197/full/800,/0/default.jpg","https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/197/450,/full/0/default.jpg","Manuscript page from Version A of the ""Walden"" manuscript with material found in ""Higher Laws,"" paragraph 1, ""The Village,"" paragraph 2, and ""The Ponds,"" paragraph 28 in ""Walden"" as published (1854).","<div class='transcript'><div class='canceled-wavy'> <svg class='wavy-line' viewBox='0 0 120 40' preserveAspectRatio='none'> <path d='M0 20 Q 10 0, 20 20 Q 30 40, 40 20 Q 50 0, 60 20 Q 70 40, 80 20 Q 90 0, 100 20 Q 110 40, 120 20' stroke='gray' stroke-width='.5' fill='none'/> </svg> <div class='para-break'> Fishermen and hunters see nature <br/>at an advantage which the phi- <br/>losopher <span class='del-pencil'>can</span> never enjoy<span class='add-pencil'>s</span>. They go <br/>through the fields with freedom <br/>and abandonment–not formally, <br/>and see nature <span style='position: relative; top: .5em; font-size: smaller;'>^</span> <span class='add-pencil-above'>as it were</span> without looking at <br/>her, <span style='position: relative; top: .5em; font-size: smaller;'>^</span> <span class='above'>in a deshabille</span> as members of her family– <br/> <span class='del-pencil'>without etiquette–&amp; in a desha-</span> <br/> <span class='del-pencil'>bille</span>. <span class='add-pencil'>VS It was very pleasant</span> <span class='note'>[Catchwords referencing The Village 2a]</span> </div> </div> <div class='boxed-pencil-3s'> <div class='vertical-so'> <div class='line-pencil line-pencil-left'><!----></div> <div class='line-pencil line-pencil-right'><!----></div> <div class='para-break'> Flints or Sandy pond our greatest <br/>lake and inland sea, containing <br/>197 acres lies about a mile east <br/>of me, and a walk through the <br/>woods thither by such paths as <br/>the Indians used was sometimes <br/>my recreation in the summer. It <br/>was worth the while if only to feel <br/>the wind blow <span style='position: relative; top: .5em; font-size: smaller;'>^</span> <span class='add-pencil-above'>on your cheek</span> and see the waves <br/>run and remember the life of <br/>mariners. I went a <span style='position: relative; top: .5em; font-size: smaller;'>^</span> <span class='add-pencil-above'> <span class='unclear-pencil'> [c?]</span>hes<span class='unclear-pencil'> [t?]</span> </span> nutting <br/>there in the fall one windy day <br/>when the nuts were dropping into <br/>the water and were washed ashore; <br/>and as I crept along its sedgey <br/>shore–the fresh spray blowing <br/>in my face, I came upon the <br/>mouldering wreck of a boat, <br/>the sides gone and hardly more <br/>than the impression of its flat </div> </div></div><div class='note'><strong>Note:</strong> “P. 304” in left margin preceding “Flints” and “P. 305” in right margin near middle added in pencil by Franklin Benjamin Sanborn.</div>"
hm924v1n198,"HM 924 Volume 1, p. 195",Henry David Thoreau,"Image 198 from HM 924, the manuscript of ""Walden.""",manuscript; Henry David Thoreau,"American Literature Collection,Huntington Digital Library, Huntington Library, Art Museum, and Botanical Gardens, San Marino, CA",559813,Image; Digital Facsimile,image/jpeg,eng,See rights statement,https://www.huntington.org/library-rights-permissions,iiif_image,https://cdm16003.contentdm.oclc.org/iiif/info/p16003coll16/198/manifest.json,"https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/198/full/800,/0/default.jpg","https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/198/450,/full/0/default.jpg","Manuscript page from Version A of the ""Walden"" manuscript with material found in The Ponds,"" paragraphs 5, 8, and 7 in ""Walden"" as published (1854).",Coming soon.
